Vehcl,KBot,Ship,Air,Cnstr,Building,"ID",Name,Side,Description,BuildCostEnergy,BuildCostMetal,DamageModifier,MaxDamage,RealDamage,EnergyUse,BuildTime,WorkerTime,SightDistance,RadarDistance,SonarDistance,RadarDistanceJam,SonarDistanceJam,Stealth,CloakCost,CloakCostMoving,MinCloakDistance,EnergyStorage,MetalStorage,MetalMake,MakesMetal,EnergyMake,ExtractsMetal,WindGenerator,BuildDistance,MaxVelocity,BrakeRate,Acceleration,TurnRate,CanMove,CanPatrol,CanStop,CanGuard,CanReclamate,CanAttack,CanDgun,CanCapture,CanLoad,CantBeTransported,TransportCapacity,TransportSize,OnOffable,Floater,Upright,NoAutoFire,ShootMe,FireStandOrders,StandingFireOrder,MobileStandOrders,StandingMoveOrder,SoundCategory,NoChaseCategory,wpri_badtargetcategory,wsec_badtargetcategory,wspe_badtargetcategory,MovementClass,ExplodeAs,SelfDestructAs,Category,Corpse,HealTime,DefaultMissionType,MaxWaterDepth,MinWaterDepth,MoveRate1,MoveRate2,FootPrintX,FootPrintZ,MaxSlope,CanFly,HoverAttack,Amphibious,ImmuneToParalyzer,SteeringMode,WaterLine,Cruisealt,BankScale,PitchScale,Level,DPM,Changed,File
False,False,False,False,False,True,AIAMEXC,Metal Extractor,ARM,AI Mex (Commander Only),521,55,0,178,178,3,1650,0,210,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,ARM_MEX,,,,,,MEX_EX,MEX_EX,ALL ARM METAL LEVEL1 AIC NOWEAPON NOTAIR NOTSUB,armmex_dead,0,,0,0,0,0,3,3,20,0,0,0,0,0,0,0,0,0,L1,3.24,False,C:\Games\Cavedog\git\mayhem\assets\UnitsM\AIAMEXC.fbi
False,False,False,False,False,True,AIAUWMEXC,Underwater Metal Extractor,ARM,AI Mex (Commander Only),677,73,1,310,310,0,1752,0,180,0,0,0,0,0,0,0,0,1000,400,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,ARM_UWMEX,,,,,,MEX_EX,MEX_EX,ALL ARM METAL LEVEL1 UNDERWATER NOWEAPON NOTAIR AIC,armuwmex_dead,0,,0,15,0,0,3,3,24,0,0,0,0,0,0,0,0,0,L1,4.25,False,C:\Games\Cavedog\git\mayhem\assets\UnitsM\AIAUWMEXC.fbi
False,False,False,False,False,True,AICMEXC,Metal Extractor,CORE,AI Mex (Commander Only),514,56,0,180,180,3,1680,0,210,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,CORE_MEX,,,,,,MEX_EX,MEX_EX,ALL CORE METAL LEVEL1 AIC NOWEAPON NOTAIR NOTSUB,cormex_dead,0,,0,0,0,0,3,3,20,0,0,0,0,0,0,0,0,0,L1,3.21,False,C:\Games\Cavedog\git\mayhem\assets\UnitsM\AICMEXC.fbi
False,False,False,False,False,True,AICUWMEXC,Underwater Metal Extractor,CORE,AI Mex (Commander Only),690,71,0,332,332,0,1704,0,180,0,0,0,0,0,0,0,0,1000,400,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,CORE_UWMEX,,,,,,MEX_EX,MEX_EX,ALL CORE METAL LEVEL1 UNDERWATER NOWEAPON NOTAIR AIC,coruwmex_dead,0,,0,12,0,0,3,3,20,0,0,0,0,0,0,0,0,0,L1,4.68,False,C:\Games\Cavedog\git\mayhem\assets\UnitsM\AICUWMEXC.fbi
False,False,False,False,False,True,ARMAAP,Adv. Aircraft Plant,ARM,Tech Level 2,9042,2179,0,2410,2410,0,17680,240,300,1500,0,0,0,0,0,0,0,200,200,0.3,0,20,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,AIRPLANT,,,,,,LARGE_BUILDINGEX,LARGE_BUILDING,ALL ARM LEVEL2 CTRL_F NOWEAPON NOTAIR NOTSUB,armaap_dead,0,,0,0,0,0,7,6,10,0,0,0,0,0,0,0,0,0,L2,1.11,False,C:\Games\Cavedog\git\mayhem\assets\UnitsM\ARMAAP.fbi
False,False,False,False,False,True,ARMAARP,Aircraft Repair Center,ARM,Automatically Repairs Aircraft,6280,400,0,1640,1640,0,12000,480,610,1500,0,0,0,0,0,0,0,200,0,0,0,30,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,AIRPLANT,,,,,,ESTOR_BUILDINGEX,LARGE_BUILDING,ALL ARM LEVEL2 NOWEAPON NOTAIR NOTSUB,ARMAARP_dead,0,,18,0,0,0,9,9,20,0,0,0,0,0,0,0,0,0,L2,4.1,False,C:\Games\Cavedog\git\mayhem\assets\UnitsM\ARMAARP.fbi
False,False,True,False,False,False,ARMAAS,Archer,ARM,Anti-Air Ship,16058,1358,0,2650,2650,7,27160,0,500,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,2.7,0.025,0.015,212,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,2,1,1,ARM_SHIP,VTOL,NOTSUB,,UNDERWATER,BOATS4,BIG_UNITEX,BIG_UNIT,ALL ARM LEVEL2 CTRL_N NOTAIR MOBILE CTRL_W,armaas_dead,0,Standby,0,30,0,0,4,4,0,0,0,0,0,0,0,0,0,0,L2,1.95,False,C:\Games\Cavedog\git\mayhem\assets\UnitsM\ARMAAS.fbi
False,False,False,False,True,False,ARMACA,Adv. Construction Aircraft,ARM,Tech Level 2,12408,242,0,740,740,4,24400,90,340,0,0,0,0,0,0,0,0,50,50,0.4,0,21,0,0,90,7.7,1.5,0.06,142,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,ARM_CVTOL,,,,,,BIG_UNITEX,BIG_UNIT,ALL ARM LEVEL2 CTRL_B NOWEAPON NOTSUB MOBILE VTOL,,0,VTOL_standby,255,0,0.1,0,2,2,10,1,0,0,1,0,0,80,1.5,0,L2,3.06,False,C:\Games\Cavedog\git\mayhem\assets\UnitsM\ARMACA.fbi
False,False,True,False,False,False,ARMACAR,Longreach,ARM,Heavy Antinuke Aircraft Carrier,99507,7020,0,9500,9500,40,168480,360,960,3660,960,0,0,0,0,0,0,2000,200,0,0,720,0,0,0,2,0.015,0.0032,80,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,2,1,1,BIGSHIP,ALL,,NOTAIR,,BOATD11,ATOMIC_BLAST,ATOMIC_BLAST,ALL ARM LEVEL3 ENERGY CARRY NOTAIR MOBILE CTRL_R ANTI,ArmaCAR_dead,0,Standby,0,24,0,0,9,9,0,0,0,0,0,0,0,0,0,0,L3,1.35,False,C:\Games\Cavedog\git\mayhem\assets\UnitsM\ARMACAR.fbi
False,False,False,False,True,False,ARMACH,Adv Construction Hovercraft,ARM,Tech Level 2,8570,412,0,1023,1023,2,14832,150,300,0,0,0,0,0,0,0,0,150,100,0.5,0,20,0,0,150,1.9,0.009,0.008,420,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,ARM_CHOVER,,,,,TANKHOVER3,BIG_UNITEX,BIG_UNIT,ALL ARM LEVEL2 CTRL_B NOWEAPON NOTAIR NOTSUB MOBILE,armach_dead,0,Standby,0,0,0,0,3,3,16,0,0,0,0,0,0,0,0,0,L2,2.48,False,C:\Games\Cavedog\git\mayhem\assets\UnitsM\ARMACH.fbi
